products,description,price,material,Image1,Image2
Tommy Hilfiger Men Navy Blue Wallet,Navy Blue leather solid two fold wallet made of leather,1700,Leather,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/2241309/2021/10/21/5aed2131-f6fa-40fb-b56a-97fdb9be95361634798998017-Tommy-Hilfiger-Men-Navy-Blue-Leather-Solid-Two-Fold-Wallet-1-1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/2241309/2021/10/21/065caa56-dc65-4d52-9e9f-3b0f834b84291634798998001-Tommy-Hilfiger-Men-Navy-Blue-Leather-Solid-Two-Fold-Wallet-1-3.jpg"
BuckleUp Men Brown Solid Leather Belt,Brown Solid Belt with Slider buckle closure made of leather,649,Leather,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/15508234/2021/9/17/8ad4c499-4ed4-460f-9090-a27c891018d91631862674539BuckleUpMenBrownSolid1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/15508234/2021/9/17/77cf5019-5305-4c53-8400-689386ea00c11631862674613BuckleUpMenBrownSolid5.jpg"
KOLOROBIA Pink & Green Chai Glasses,Premium quality glasses set of 4 made of glass,1350,Glass,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/productimage/2020/11/25/48de5021-5bf6-4845-929e-eb316448bc3e1606287943960-1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/productimage/2020/11/25/9449d164-33d8-49b0-bca5-0dcd6a956c8c1606287944061-3.jpg"
nestroots Brown Wood Gold-Toned Serving Tray,Wooden tray for glasses made of best quality wood,1285,wood,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/11476308/2021/9/13/116f30d2-0af1-4e18-adca-5fe6a85fcf7d1631527762875nestrootsBrownTeakWoodGold-TonedServingTraywithBrassHandle1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/2241309/2021/10/21/5aed2131-f6fa-40fb-b56a-97fdb9be95361634798998017-Tommy-Hilfiger-Men-Navy-Blue-Leather-Solid-Two-Fold-Wallet-1-1.jpg"
Quechua By Decathlon Men Blue Solid Water Resistant Hooded Rain Jacket,"Blue solid Hooded Rain Jacket, has a hood, long sleeves, zip closure, and has a lining",650,Synthetic,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/productimage/2021/4/27/4eeedcf2-1de2-482c-ae93-94bc93f9ce461619505425199-1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/productimage/2021/4/27/776bc657-0643-44ca-a0cf-1e4eec8b593f1619505425282-5.jpg"
Tommy Hilfiger Women Navy Blue High-Top Rain Boots,A pair of round toe navy blue flat rain boots,5999,Synthetic,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/14628008/2021/9/9/61682971-76fd-4c5a-a66a-2d99313f061b1631175690886-Tommy-Hilfiger-Women-Casual-Shoes-3901631175690475-1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/14628008/2021/9/9/03033846-e371-4dc2-b9d6-505cd3204e891631175690879-Tommy-Hilfiger-Women-Casual-Shoes-3901631175690475-2.jpg"
Home Sizzler Yellow Cartoon Character Bedsheet with 2 pillow covers,Bedshhet for queen sized beds with 2 pillow covers,515,Polyster,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/15648128/2021/9/27/3e10f321-6e6e-45c0-a34b-9f1461b02cfd1632761593668Bedsheets1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/15648128/2021/9/27/67b720b2-c7e1-42e0-b0b6-01aeec7760b61632761594148Bedsheets3.jpg"
Ddecor White Microgel Fibre Pillow,"1 pillow with solid cover, has a concealed zip closure filled of fibre",1999,Fibre,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/7480712/2018/9/25/b98ff7bf-02ac-4a3f-a3b8-e427cc9fc6c61537865393739-Ddecor-Regular-Onsize-Microgel-Fibre-Pillow-3181537865392988-1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/7480712/2018/9/25/00d78720-5a22-468d-8d3c-ccd931cf3adc1537865393714-Ddecor-Regular-Onsize-Microgel-Fibre-Pillow-3181537865392988-2.jpg"
Stoa Paris Set Of 2 Black Solid Satin Pillow Covers,Pillow covers of fibre pillows of solid covers,499,Satin,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/productimage/2021/6/25/2d96b58b-c6ee-4eff-9eb4-3217ec49677d1624610291147-1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/productimage/2021/6/25/4578a48f-c523-4440-a7e5-99c5b8fa168b1624610291154-2.jpg"
Maybellne New York Fit Me Concealer,Concealer - 25 Medium 6.8ml to apply with a blending sponge of polyurethene foam,332,Cosmetics,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/1546434/2018/7/31/220cca57-6953-4877-9d38-54f83ba92d251533035238422-Maybelline-Fit-Me-Concealer-Medium-25-68-ml-5951533035238398-1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/1546434/2021/9/17/87ee7428-a256-460f-9942-fbb3d6fe43311631891751075-Maybelline-New-York-Fit-Me-Concealer---25-Medium-68ml-903163-2.jpg"
Bronson Professional blending Sponge,Beauty Blender Sponge by Bronson Professional is a multi-functional makeup sponge with rounded sides that blends larger areas of the face best use with a concealer - Medium 6.8 ml,135,polyurethane foam,https://images-static.nykaa.com/media/catalog/product/n/y/nybronson0023zx.png,https://images-static.nykaa.com/media/catalog/product/6/2/62cf138nybronson0023as__2_.jpg
U.S. Polo Assn. Men White & Grey Sneakers,"A pair of round-toe white & grey sneakers, has regular styling, lace-up detail",1949,Synthetic Leather,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/10331501/2020/3/18/d4d07c60-88d9-43d9-aa78-9cc7712816321584508934272-US-Polo-Assn-Men-White-Colourblocked-Sneakers-84015845089331-1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/10331501/2020/3/18/731d90a3-d2bc-40dc-b616-ff02f0d8b7a91584508934194-US-Polo-Assn-Men-White-Colourblocked-Sneakers-84015845089331-3.jpg"
Puma Unisex Set of 2 Navy Blue & Red Cushioned Sneaker Socks,"Includes 2 pairs, Unisex fit, Cushioned to decrease pain of impact socks for sneakers",509,Synthetic Polyster,"https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/15138878/2021/8/13/721f5ce8-f2ec-4039-a35b-e8c7e57130f21628855488433Socks1.jpg","https://assets.myntassets.com/h_1440,q_90,w_1080/v1/assets/images/15138878/2021/8/13/d02de5e5-8384-4371-a2a3-b009f67efb481628855487939Socks3.jpg"
